[Measurement conditions],,,,,
Sample identification,,,,,
Comment - 1,"Configuration=Reflection-transmission spinner, Owner=User-1, Creation date=12/4/2012 10:13:13 AM",,,,
Comment - 2,Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001,,,,
Comment - 3,Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1,,,,
Comment - 4,Diffractometer system=EMPYREAN,,,,
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\PI Lorenzo Mangolini\BrandonWagner_Mg.xrdmp, Identifier={9EE36770-7A59-4EAA-85D0-90E43AFBFC91}",,,,
Anode material,Cu,,,,
K-Alpha1 wavelength,1.540598,,,,
K-Alpha2 wavelength,1.544426,,,,
Ratio K-Alpha2/K-Alpha1,0.5,,,,
Divergence slit,Fixed,0.76mm,,,
Monochromator used,NO,,,,
Generator voltage,45,,,,
Tube current,40,,,,
File date and time,4/5/2023 15:56,,,,
Unit cell,,,,,
h k l, 0 0 0,,,,
Scan axis,Gonio,,,,
Scan range,20,79.99226154,,,
Scan step size,0.0393908,,,,
No. of points,1523,,,,
Scan type,CONTINUOUS,,,,
Phi,184.9,,,,
Time per step,45.135,,,,
[Scan points],,,,,
Angle, TimePerStep, Intensity, ESD,,
20.01969542,45.135,490,22.1359,9608,0.050999167
20.05908627,45.135,525,22.9129,,0.054641965
20.09847712,45.135,497,22.2935,,0.051727727
20.13786796,45.135,525,22.9129,,0.054641965
20.17725881,45.135,530,23.0217,,0.055162365
20.21664966,45.135,482,21.9545,,0.050166528
20.25604051,45.135,514,22.6716,,0.053497086
20.29543136,45.135,479,21.8861,,0.049854288
20.3348222,45.135,496,22.2711,,0.051623647
20.37421305,45.135,563,23.7276,,0.058597002
20.4136039,45.135,510,22.5832,,0.053080766
20.45299475,45.135,478,21.8632,,0.049750208
20.4923856,45.135,536,23.1517,,0.055786844
20.53177644,45.135,556,23.5797,,0.057868443
20.57116729,45.135,552,23.4947,,0.057452123
20.61055814,45.135,518,22.7596,,0.053913405
20.64994899,45.135,503,22.4277,,0.052352206
20.68933984,45.135,531,23.0434,,0.055266445
20.72873069,45.135,446,21.1187,,0.04641965
20.76812153,45.135,523,22.8692,,0.054433805
20.80751238,45.135,513,22.6495,,0.053393006
20.84690323,45.135,496,22.2711,,0.051623647
20.88629408,45.135,503,22.4277,,0.052352206
20.92568493,45.135,520,22.8035,,0.054121565
20.96507577,45.135,509,22.561,,0.052976686
21.00446662,45.135,512,22.6274,,0.053288926
21.04385747,45.135,507,22.5167,,0.052768526
21.08324832,45.135,496,22.2711,,0.051623647
21.12263917,45.135,509,22.561,,0.052976686
21.16203001,45.135,475,21.7945,,0.049437968
21.20142086,45.135,512,22.6274,,0.053288926
21.24081171,45.135,501,22.383,,0.052144047
21.28020256,45.135,491,22.1585,,0.051103247
21.31959341,45.135,478,21.8632,,0.049750208
21.35898425,45.135,475,21.7945,,0.049437968
21.3983751,45.135,494,22.2261,,0.051415487
21.43776595,45.135,514,22.6716,,0.053497086
21.4771568,45.135,543,23.3024,,0.056515404
21.51654765,45.135,506,22.4944,,0.052664446
21.55593849,45.135,444,21.0713,,0.04621149
21.59532934,45.135,484,22,,0.050374688
21.63472019,45.135,479,21.8861,,0.049854288
21.67411104,45.135,487,22.0681,,0.050686928
21.71350189,45.135,471,21.7025,,0.049021649
21.75289273,45.135,525,22.9129,,0.054641965
21.79228358,45.135,480,21.9089,,0.049958368
21.83167443,45.135,533,23.0868,,0.055474604
21.87106528,45.135,496,22.2711,,0.051623647
21.91045613,45.135,468,21.6333,,0.048709409
21.94984697,45.135,478,21.8632,,0.049750208
21.98923782,45.135,472,21.7256,,0.049125729
22.02862867,45.135,478,21.8632,,0.049750208
22.06801952,45.135,476,21.8174,,0.049542048
22.10741037,45.135,453,21.2838,,0.04714821
22.14680121,45.135,433,20.8087,,0.045066611
22.18619206,45.135,494,22.2261,,0.051415487
22.22558291,45.135,510,22.5832,,0.053080766
22.26497376,45.135,447,21.1424,,0.04652373
22.30436461,45.135,494,22.2261,,0.051415487
22.34375545,45.135,490,22.1359,,0.050999167
22.3831463,45.135,491,22.1585,,0.051103247
22.42253715,45.135,520,22.8035,,0.054121565
22.461928,45.135,509,22.561,,0.052976686
22.50131885,45.135,466,21.587,,0.048501249
22.54070969,45.135,446,21.1187,,0.04641965
22.58010054,45.135,484,22,,0.050374688
22.61949139,45.135,414,20.347,,0.043089092
22.65888224,45.135,459,21.4243,,0.047772689
22.69827309,45.135,442,21.0238,,0.046003331
22.73766393,45.135,468,21.6333,,0.048709409
22.77705478,45.135,502,22.4054,,0.052248127
22.81644563,45.135,468,21.6333,,0.048709409
22.85583648,45.135,462,21.4942,,0.048084929
22.89522733,45.135,493,22.2036,,0.051311407
22.93461817,45.135,459,21.4243,,0.047772689
22.97400902,45.135,446,21.1187,,0.04641965
23.01339987,45.135,453,21.2838,,0.04714821
23.05279072,45.135,431,20.7605,,0.044858451
